Id,Id2,Geography,Total,English Only,Spanish,French,French Creole,Portuguese,Russian,Chinese,Estimate; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,"Estimate; Total: - French (incl. Patois, Cajun):",Estimate; Total: - French Creole:,Estimate; Total: - Portuguese or Portuguese Creole:,Estimate; Total: - Russian:,Estimate; Total: - Chinese:
1400000US12086000120,12086000120,"Census Tract 1.20, Miami-Dade County, Florida",4425,45.8,38.8,0.8,2.2,0.9,0.3,0.1,2028,1717,37,98,39,15,3
1400000US12086000219,12086000219,"Census Tract 2.19, Miami-Dade County, Florida",4213,25.8,26.0,0.2,43.1,0.9,0.0,0.0,1086,1094,8,1815,38,0,0
1400000US12086000220,12086000220,"Census Tract 2.20, Miami-Dade County, Florida",5061,20.7,22.0,0.7,53.9,0.0,1.1,0.0,1046,1111,35,2729,0,55,0
1400000US12086000306,12086000306,"Census Tract 3.06, Miami-Dade County, Florida",4852,24.6,17.0,1.4,55.7,0.6,0.0,0.0,1195,824,70,2701,31,0,0
1400000US12086000308,12086000308,"Census Tract 3.08, Miami-Dade County, Florida",5877,32.9,24.0,1.1,39.9,0.4,0.0,0.0,1936,1408,66,2346,25,0,0
1400000US12086000408,12086000408,"Census Tract 4.08, Miami-Dade County, Florida",4193,49.8,22.1,1.0,26.3,0.5,0.0,0.0,2089,925,44,1103,23,0,0
1400000US12086000409,12086000409,"Census Tract 4.09, Miami-Dade County, Florida",4668,19.9,26.8,0.7,52.5,0.0,0.0,0.0,930,1253,35,2450,0,0,0
1400000US12086000411,12086000411,"Census Tract 4.11, Miami-Dade County, Florida",5772,37.7,19.6,0.2,42.5,0.0,0.0,0.0,2174,1134,12,2452,0,0,0
1400000US12086000412,12086000412,"Census Tract 4.12, Miami-Dade County, Florida",6287,52.7,40.5,0.0,6.8,0.0,0.0,0.0,3314,2547,0,426,0,0,0
1400000US12086000503,12086000503,"Census Tract 5.03, Miami-Dade County, Florida",6764,43.8,50.6,0.0,3.6,0.0,0.0,0.2,2961,3421,0,246,0,0,15
1400000US12086000604,12086000604,"Census Tract 6.04, Miami-Dade County, Florida",6174,5.8,94.2,0.0,0.0,0.0,0.0,0.0,357,5817,0,0,0,0,0
1400000US12086000605,12086000605,"Census Tract 6.05, Miami-Dade County, Florida",4309,9.0,91.0,0.0,0.0,0.0,0.0,0.0,389,3920,0,0,0,0,0
1400000US12086000804,12086000804,"Census Tract 8.04, Miami-Dade County, Florida",4907,5.3,94.6,0.0,0.0,0.0,0.0,0.0,262,4643,0,2,0,0,0
1400000US12086000805,12086000805,"Census Tract 8.05, Miami-Dade County, Florida",5689,7.9,91.9,0.2,0.0,0.0,0.0,0.0,447,5226,9,0,0,0,0
1400000US12086000806,12086000806,"Census Tract 8.06, Miami-Dade County, Florida",4802,9.6,90.0,0.0,0.2,0.0,0.0,0.0,463,4323,0,12,0,0,0
1400000US12086000901,12086000901,"Census Tract 9.01, Miami-Dade County, Florida",7051,11.8,87.2,0.3,0.7,0.0,0.0,0.0,834,6145,21,51,0,0,0
1400000US12086000902,12086000902,"Census Tract 9.02, Miami-Dade County, Florida",5584,23.3,72.7,0.1,3.5,0.0,0.0,0.3,1301,4057,7,198,0,0,16
1400000US12086000903,12086000903,"Census Tract 9.03, Miami-Dade County, Florida",2483,59.0,39.3,0.0,0.8,0.0,0.0,0.0,1466,977,0,19,0,0,0
1400000US12086001002,12086001002,"Census Tract 10.02, Miami-Dade County, Florida",5035,73.0,17.2,0.4,9.4,0.0,0.0,0.0,3675,864,22,473,0,0,0
1400000US12086001003,12086001003,"Census Tract 10.03, Miami-Dade County, Florida",4702,73.1,21.6,0.0,4.6,0.0,0.0,0.0,3439,1017,0,215,0,0,0
1400000US12086001004,12086001004,"Census Tract 10.04, Miami-Dade County, Florida",5953,73.1,14.5,0.1,12.1,0.0,0.0,0.0,4351,864,3,722,0,0,0
1400000US12086001005,12086001005,"Census Tract 10.05, Miami-Dade County, Florida",1903,67.6,22.8,1.3,8.2,0.0,0.0,0.0,1286,433,24,156,0,0,0
1400000US12086001006,12086001006,"Census Tract 10.06, Miami-Dade County, Florida",4617,37.7,30.7,1.0,28.8,0.0,0.0,0.5,1741,1417,48,1331,0,0,24
1400000US12086001101,12086001101,"Census Tract 11.01, Miami-Dade County, Florida",5406,21.8,18.9,1.9,54.9,0.0,0.0,0.0,1176,1023,104,2968,0,0,0
1400000US12086001102,12086001102,"Census Tract 11.02, Miami-Dade County, Florida",5603,36.1,28.3,0.7,33.4,0.0,0.0,0.1,2025,1588,39,1874,0,0,4
1400000US12086001103,12086001103,"Census Tract 11.03, Miami-Dade County, Florida",3380,43.1,24.0,0.4,31.1,0.0,0.0,0.2,1456,811,15,1052,0,0,8
1400000US12086001104,12086001104,"Census Tract 11.04, Miami-Dade County, Florida",4623,48.9,28.6,1.3,13.3,1.4,0.2,0.3,2259,1321,62,615,66,8,13
1400000US12086001203,12086001203,"Census Tract 12.03, Miami-Dade County, Florida",6665,32.0,27.5,3.5,32.8,0.0,0.0,0.3,2136,1833,233,2186,0,0,17
1400000US12086001204,12086001204,"Census Tract 12.04, Miami-Dade County, Florida",5392,42.6,40.4,0.9,6.2,3.4,1.8,0.0,2297,2178,47,332,184,95,0
1400000US12086001205,12086001205,"Census Tract 12.05, Miami-Dade County, Florida",3095,54.3,28.1,1.7,9.5,0.0,0.0,0.0,1682,870,54,295,0,0,0
1400000US12086001206,12086001206,"Census Tract 12.06, Miami-Dade County, Florida",4210,43.0,36.8,1.2,3.8,6.5,0.0,0.0,1809,1550,51,161,272,0,0
1400000US12086001301,12086001301,"Census Tract 13.01, Miami-Dade County, Florida",4092,32.8,43.3,0.9,16.1,0.2,1.0,0.8,1344,1771,36,657,10,41,34
1400000US12086001302,12086001302,"Census Tract 13.02, Miami-Dade County, Florida",5459,38.4,39.6,1.0,18.1,0.8,0.0,0.0,2094,2164,52,990,41,0,0
1400000US12086001401,12086001401,"Census Tract 14.01, Miami-Dade County, Florida",4865,44.9,9.7,2.1,43.1,0.0,0.0,0.0,2184,474,101,2096,0,0,0
1400000US12086001402,12086001402,"Census Tract 14.02, Miami-Dade County, Florida",5716,34.6,12.5,0.8,52.0,0.0,0.0,0.0,1978,717,43,2970,0,0,0
1400000US12086001501,12086001501,"Census Tract 15.01, Miami-Dade County, Florida",3585,86.4,10.0,0.0,3.6,0.0,0.0,0.0,3098,359,0,128,0,0,0
1400000US12086001502,12086001502,"Census Tract 15.02, Miami-Dade County, Florida",3671,90.7,9.3,0.0,0.0,0.0,0.0,0.0,3329,342,0,0,0,0,0
1400000US12086001602,12086001602,"Census Tract 16.02, Miami-Dade County, Florida",6277,8.8,90.8,0.0,0.0,0.0,0.0,0.0,554,5698,0,0,0,0,0
1400000US12086001603,12086001603,"Census Tract 16.03, Miami-Dade County, Florida",3510,3.1,96.8,0.0,0.0,0.0,0.0,0.0,110,3398,0,0,0,0,0
1400000US12086001605,12086001605,"Census Tract 16.05, Miami-Dade County, Florida",3624,5.1,94.8,0.1,0.0,0.0,0.0,0.0,185,3435,4,0,0,0,0
